PositionName,Level
HR generalista,Specialist
HR manažér,Manager
Softvérový vývojár,Specialist
Senior softvérový vývojár,Senior
IT manažér,Manager
Systémový administrátor,Specialist
Účtovník,Specialist
Finančný kontrolór,Senior
Finančný manažér,Manager
Obchodný zástupca,Specialist
Key Account Manager,Senior
Obchodný riaditeľ,Manager
Marketingový špecialista,Specialist
Marketingový manažér,Manager
Operátor výroby,Junior
Majster výroby,Senior
Vedúci prevádzky,Manager
Špecialista kvality,Specialist
Manažér kvality,Manager
Právnik,Senior
