Employee,Training,CompletionDate,ExpirationDate,Status,CertificateLink,Notes
EMP0001,BOZP – vstupné školenie,2024-07-03,2026-07-03,Expiring,/sites/HRHub/Certificates/EMP0001_BOZP_-_vstupne_skolenie.pdf,
EMP0001,Ochrana pred požiarmi,2024-11-03,2026-11-03,Valid,/sites/HRHub/Certificates/EMP0001_Ochrana_pred_poziarmi.pdf,
EMP0001,GDPR a ochrana osobných údajov,2025-09-19,2026-09-19,Valid,/sites/HRHub/Certificates/EMP0001_GDPR_a_ochrana_osobnych_udajov.pdf,
EMP0001,Kybernetická bezpečnosť,2025-03-17,2026-03-17,Expired,/sites/HRHub/Certificates/EMP0001_Kyberneticka_bezpecnost.pdf,Potrebné obnoviť školenie.
EMP0001,Etický kódex a compliance,2024-06-12,2026-06-12,Expiring,/sites/HRHub/Certificates/EMP0001_Eticky_kodex_a_compliance.pdf,
EMP0001,Prvá pomoc na pracovisku,2024-11-17,2026-11-17,Valid,/sites/HRHub/Certificates/EMP0001_Prva_pomoc_na_pracovisku.pdf,
EMP0001,Excel pre pokročilých,2026-07-27,,Planned,,Naplánovaný termín cez HR.
EMP0001,Anglický jazyk B2 – konverzácie,2025-09-09,,Valid,/sites/HRHub/Certificates/EMP0001_Anglicky_jazyk_B2_-_konverzacie.pdf,
EMP0002,BOZP – vstupné školenie,2024-11-29,2026-11-29,Valid,/sites/HRHub/Certificates/EMP0002_BOZP_-_vstupne_skolenie.pdf,
EMP0002,Ochrana pred požiarmi,2024-01-22,2026-01-22,Expired,/sites/HRHub/Certificates/EMP0002_Ochrana_pred_poziarmi.pdf,Potrebné obnoviť školenie.
EMP0002,GDPR a ochrana osobných údajov,2025-04-14,2026-04-14,Expired,/sites/HRHub/Certificates/EMP0002_GDPR_a_ochrana_osobnych_udajov.pdf,Potrebné obnoviť školenie.
EMP0002,Kybernetická bezpečnosť,2026-06-25,,Planned,,Naplánovaný termín cez HR.
EMP0002,Etický kódex a compliance,2025-09-28,2027-09-28,Valid,/sites/HRHub/Certificates/EMP0002_Eticky_kodex_a_compliance.pdf,
EMP0002,Scrum Master I (PSM I),2024-10-05,,Valid,/sites/HRHub/Certificates/EMP0002_Scrum_Master_I_(PSM_I).pdf,
EMP0002,Microsoft Azure Fundamentals (AZ-900),2024-09-10,,Valid,/sites/HRHub/Certificates/EMP0002_Microsoft_Azure_Fundamentals_(AZ-900).pdf,
EMP0002,Excel pre pokročilých,2025-10-09,,Valid,/sites/HRHub/Certificates/EMP0002_Excel_pre_pokrocilych.pdf,
