Order_ID;Order_Date;Customer_ID;Product_ID;Quantity;Order_Status;Currency
O1000;05.06.2020;C163;P108;2;1;CZK
O1001;21.06.2020;C127;P119;1;1;CZK
O1002;05.10.2020;C202;P105;3;1;CZK
O1003;05.07.2020;C133;P103;1;1;CZK
O1004;22.03.2021;C106;P106;4;1;CZK
O1005;08.08.2020;C121;P118;3;1;CZK
O1006;29.12.2020;C194;P119;2;1;CZK
O1007;14.11.2020;C142;P109;3;1;CZK
O1008;20.08.2020;C117;P100;3;1;CZK
O1009;31.03.2020;C173;P117;2;1;CZK
O1010;15.12.2020;C165;P120;1;1;CZK
O1011;04.10.2020;C127;P105;3;1;CZK
O1012;15.05.2020;C205;P101;3;1;CZK
O1013;16.03.2021;C184;P115;1;1;CZK
O1014;28.09.2020;C104;P109;5;1;CZK
O1015;02.02.2021;C145;P106;1;1;CZK
O1016;09.06.2020;C193;P109;1;1;CZK
O1017;20.06.2020;C195;P114;2;1;CZK
O1018;28.08.2020;C147;P111;1;1;CZK
O1019;06.02.2021;C165;P118;2;1;CZK
O1020;16.10.2020;C204;P111;1;1;CZK
O1021;18.12.2020;C192;P116;1;1;CZK
O1022;17.05.2020;C132;P114;2;1;CZK
O1023;02.03.2021;C194;P110;10;1;CZK
O1024;24.02.2021;C149;P111;3;1;CZK
O1025;16.09.2020;C124;P111;2;1;CZK
O1026;23.09.2020;C182;P111;1;1;CZK
O1027;04.08.2020;C170;P105;2;1;CZK
O1028;26.12.2020;C139;P118;1;1;CZK
O1029;08.03.2020;C138;P117;3;1;CZK
O1030;26.09.2020;C194;P105;2;1;CZK
O1031;18.09.2020;C192;P108;3;1;CZK
O1032;02.10.2020;C128;P104;1;1;CZK
O1033;09.04.2020;C192;P110;2;1;CZK
O1034;13.01.2021;C160;P104;3;1;CZK
O1035;02.08.2020;C129;P113;1;1;CZK
O1036;10.01.2021;C125;P100;3;1;CZK
O1037;26.11.2020;C187;P103;2;1;CZK
O1038;08.11.2020;C138;P109;1;1;CZK
O1039;28.07.2020;C111;P109;3;1;CZK
O1040;21.02.2021;C146;P120;3;1;CZK
O1041;12.07.2020;C168;P111;2;1;CZK
O1042;16.03.2020;C111;P120;1;1;CZK
